"";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"21";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 04:33:11;FALSE;NA;"928480565413777408";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"illustratedDEO";9;TRUE;FALSE;NA;NA
"22";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 04:28:56;FALSE;NA;"928479494255423488";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Kinkurochan";9;TRUE;FALSE;NA;NA
"23";"<U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;50;NA;2017-11-09 04:27:39;FALSE;NA;"928479170128093187";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"ajkendof";9;FALSE;FALSE;NA;NA
"24";"#<U+528D><U+9053><U+8AB2> 
#kendo
#<U+4EA4><U+528D><U+4E4B><U+611B> 
#<U+4EE5><U+528D><U+6703><U+53CB> @ <U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> https://t.co/hY3EgeYCtA";FALSE;0;NA;2017-11-09 04:15:23;FALSE;NA;"928476086081671168";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;"121.30334";"25.00105"
"25";"#<U+528D><U+9053><U+8AB2> 
#kendo
#<U+5E7C><U+7A1A><U+5712><U+751F> @ <U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> https://t.co/S2unlPJ2cD";FALSE;0;NA;2017-11-09 03:16:42;FALSE;NA;"928461317660463105";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;"121.30334";"25.00105"
"26";"#<U+528D><U+9053><U+8AB2>
#kendo
#<U+6C23><U+528D><U+9AD4> @ <U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> https://t.co/H49CHh0CE6";FALSE;0;NA;2017-11-09 02:35:10;FALSE;NA;"928450864028798977";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;"121.30334";"25.00105"
"27";"#<U+528D><U+9053><U+8AB2>
#<U+6298><U+8863><U+670D><U+4FEE><U+884C>
#KENDO @ <U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> https://t.co/wRZudqSqjZ";FALSE;0;NA;2017-11-09 02:34:11;FALSE;NA;"928450616271278082";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;"121.30334";"25.00105"
"28";"#<U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> 
#<U+62DB><U+751F><U+4E2D>
#kendo @ <U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> https://t.co/4ecrpQp5BK";FALSE;0;NA;2017-11-09 02:29:24;FALSE;NA;"928449412526874624";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;"121.30334";"25.00105"
"29";"<U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A> 3<U+56DE><U+6226> <U+5C71><U+672C><U+9078><U+624B>(<U+5343><U+8449>)<U+4E94><U+6BB5><U+5BFE><U+897F><U+6751><U+9078><U+624B>(<U+718A><U+672C>)<U+4E94><U+6BB5> https://t.co/9XfvDvyz2H @YouTube<U+3088><U+308A>
#<U+5263><U+9053>
#kendo";FALSE;3;NA;2017-11-09 02:29:10;FALSE;NA;"928449354679152641";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"windfirm";0;FALSE;FALSE;NA;NA
"30";"#<U+528D><U+9053><U+8AB2>
##kendo
#<U+5168><U+54E1><U+3067> @ <U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> https://t.co/R1Kb7IE7As";FALSE;0;NA;2017-11-09 02:28:27;FALSE;NA;"928449172323180545";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;"121.30334";"25.00105"
